"id";"famille";"genre";"espece";"nom_vernaculaire";"WORMS_AphiID";"Fishbase_URL";"photos";"photo_credit";"description";"Ref_description";"Presence_records";"Ref_presence_record";"presence_mayotte";"presence_geyser_zelee";"presence_zelee_nov15";"Taille_maturite";"Type_taille_maturite";"Ref_taille_maturite";"Taille_max";"Type_taille_max";"Ref_taille_max";"Type_mesure_taille_max";"Ref_taille";"coeff_a";"coeff_b";"Niveau_taxo_coeff";"Type_mesure_coeffab";"Ref_coeff";"Interet_commercial_Mayotte";"Ref_commercial_Mayotte";"Vulnerabilite_peche";"Ref_vulnerabilite_peche";"last_update";"Remarque"
"44";"Anyperodon_leucogrammicus";"SERRANIDAE";"Anyperodon";"leucogrammicus";"Mérou élégant";NA;NA;"699,601";NA;"corp elancé et compréssé rangée de tache orange robe rayée bleue et or pour juvénile. Arborent deux ocelles noirs bordés de bleu pour juvénile";NA;NA;NA;1;1;0;"36.6";NA;NA;"65";NA;NA;"TL";NA;"0.0134";"3.031";"Famille";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"45";"Aphareus_furca";"LUTJANIDAE";"Aphareus";"furca";"Vivaneaux tidents";NA;NA;"839,489";NA;"robe gris lavande ligne laterale visible tete triangualire avec une gueule de grande taille -  Sa machoire se prolonge jusqu'à la verticale de l'œil. Queue fourchue. Nagoire pectorale longue. Une barre oblique sombre borde l'opercule ";NA;NA;NA;1;1;1;"39.1";NA;NA;"70";NA;NA;"TL";NA;"0.0167";"3.022";"Famille";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"46";"Aphareus_rutilans";"LUTJANIDAE";"Aphareus";"rutilans";"Vivaneaux rouillé";NA;NA;"96";NA;"idem que lantanier mais queue fourchue et corp plus élancé. Corp couleure rouille ";NA;NA;NA;1;0;0;"73.8";NA;NA;"110";NA;NA;"TL";NA;"0.0167";"3.022";"Famille";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"47";"Apolemichthys_trimaculatus";"POMACANTHIDAE";"Apolemichthys";"trimaculatus";"Poisson-ange à trois taches";NA;NA;"843,105";NA;"";NA;NA;NA;1;1;1;"16.3";NA;NA;"26";NA;NA;"TL";NA;"0.0584";"2.718";"Famille";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"48";"Aprion_virescens";"LUTJANIDAE";"Aprion";"virescens";"Vivaneaux job";NA;NA;"663,29";NA;"corp elancé cylindrique tete robuste et queue fourchue ";NA;NA;NA;1;1;0;"62.4";NA;NA;"112";NA;NA;"TL";NA;"0.023";"2.886";"Espece";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"49";"Arothron_caeruleopunctatus";"TETRAODONTIDAE";"Arothron";"caeruleopunctatus";"Poisson-ballon à taches bleues";NA;NA;"";NA;"";NA;NA;NA;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"50";"Arothron_hispidus";"TETRAODONTIDAE";"Arothron";"hispidus";"Poisson-ballon à épaule noire";NA;NA;"650";NA;"";NA;NA;NA;1;1;0;"29";NA;NA;"50";NA;NA;"TL";NA;"0.0634";"2.756";"Espece";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"51";"Arothron_mappa";"TETRAODONTIDAE";"Arothron";"mappa";"Poisson-ballon griffonné";NA;NA;"740,651";NA;"";NA;NA;NA;1;1;0;"36.6";NA;NA;"65";NA;NA;"TL";NA;"0.0352";"2.901";"Genre";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"52";"Arothron_meleagris";"TETRAODONTIDAE";"Arothron";"meleagris";"Poisson-ballon moucheté ou pintade";NA;NA;"654,234";NA;"";NA;NA;NA;1;1;0;"29";NA;NA;"50";NA;NA;"TL";NA;"0.0352";"2.901";"Genre";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
"53";"Arothron_nigropunctatus";"TETRAODONTIDAE";"Arothron";"nigropunctatus";"Poisson-ballon jaune ou à taches noires";NA;NA;"235,60";NA;"";NA;NA;NA;1;1;1;"20.1";NA;NA;"33";NA;NA;"TL";NA;"0.0352";"2.901";"Genre";NA;"http://162.38.198.139/~base_donnee/biblio/Wickel%20&%20Jamon,%202010.pdf";NA;NA;NA;NA;NA;NA
