"ID";"RUV_treatment_code";"Field_code";"Analyzed_video_name";"Table_ref";"Species";"First_fish";"Last_fish";"Total_number";"Remark"
"203";203;969;"ES9";"ES9_Left_sd3.R.1.MP4";"RUV_data";"Chromis_pembae";30471;30477;20;""
"204";204;970;"ES9";"ES9_Left_sd3.R.10.MP4";"RUV_data";"Pseudanthias_squamipinnis";36020;36020;20;""
"205";205;970;"ES9";"ES9_Left_sd3.R.10.MP4";"RUV_data";"Chromis_pembae";35005;35005;30;""
"206";206;970;"ES9";"ES9_Left_sd3.R.10.MP4";"RUV_data";"Chromis_fieldi";35004;35004;10;""
"207";207;971;"ES9";"ES9_Left_sd3.R.2.MP4";"RUV_data";"Chromis_fieldi";35052;35052;20;""
"208";208;972;"ES9";"ES9_Left_sd3.R.3.MP4";"RUV_data";"Chromis_fieldi";35040;35040;20;""
"209";209;973;"ES9";"ES9_Left_sd3.R.4.MP4";"RUV_data";"Chromis_pembae";34978;34983;40;""
"210";210;973;"ES9";"ES9_Left_sd3.R.4.MP4";"RUV_data";"Chromis_fieldi";30521;30529;20;""
"211";211;974;"ES9";"ES9_Left_sd3.R.5.MP4";"RUV_data";"Chromis_pembae";30536;30557;20;""
"212";212;975;"ES9";"ES9_Left_sd3.R.6.MP4";"RUV_data";"Chromis_fieldi";35028;35028;10;""
"213";213;976;"ES9";"ES9_Left_sd3.R.7.MP4";"RUV_data";"Pseudanthias_squamipinnis";36018;36018;20;""
"214";214;976;"ES9";"ES9_Left_sd3.R.7.MP4";"RUV_data";"Chromis_pembae";34995;34995;20;""
"215";215;976;"ES9";"ES9_Left_sd3.R.7.MP4";"RUV_data";"Chromis_fieldi";30569;30578;20;""
"216";216;977;"ES9";"ES9_Left_sd3.R.8.MP4";"RUV_data";"Pseudanthias_squamipinnis";30579;30579;20;""
"217";217;977;"ES9";"ES9_Left_sd3.R.8.MP4";"RUV_data";"Chromis_pembae";30580;35000;20;""
"218";218;977;"ES9";"ES9_Left_sd3.R.8.MP4";"RUV_data";"Chromis_fieldi";36019;36019;10;""
"219";219;978;"ES9";"ES9_Left_sd3.R.9.MP4";"RUV_data";"Pseudanthias_squamipinnis";35024;35024;20;""
"220";220;978;"ES9";"ES9_Left_sd3.R.9.MP4";"RUV_data";"Chromis_pembae";35016;35016;30;""
"221";221;978;"ES9";"ES9_Left_sd3.R.9.MP4";"RUV_data";"Chromis_fieldi";35017;35017;10;""
"222";222;994;"JNS26";"JNS26_Left_sd7.R.5.MP4";"RUV_data";"Lutjanus_gibbus";33530;33530;1000;""
"223";223;995;"JNS26";"JNS26_Left_sd7.R.6.MP4";"RUV_data";"Lutjanus_gibbus";33534;33534;1000;""
